altitude_m,ambient_temp_c,pressure_kpa,load_current_a,vibration_g,operating_hours,internal_temp_c,dielectric_margin,health_status
2747.2,-10.5,72.39,19.93,2.55,3652.7,52.0,24.18,1
6204.3,-4.5,45.87,17.98,3.76,930.7,63.4,16.4,2
4892.0,24.1,54.8,10.46,2.86,1739.7,53.2,26.79,1
4092.0,-14.5,60.91,31.15,0.51,3319.8,112.7,14.8,2
1436.1,25.2,85.22,24.88,1.01,2415.6,103.7,24.43,1
1436.0,-33.4,85.22,43.55,1.17,3695.5,138.5,15.91,2
848.5,18.3,91.54,3.54,1.36,4806.4,23.2,67.6,0
5697.1,23.6,49.17,32.91,2.87,591.6,176.4,11.46,2
4106.7,-26.4,60.79,38.62,2.57,3550.7,145.7,12.5,2
4748.4,-7.7,55.86,38.46,1.1,1159.4,170.7,11.53,2
623.5,-27.6,94.06,44.53,0.43,2078.2,141.2,17.25,2
6319.5,13.0,45.15,36.99,0.94,174.0,200.9,9.61,2
5494.7,0.2,50.54,46.53,4.92,688.2,245.1,8.94,2
1774.0,7.6,81.75,17.97,2.4,1605.7,58.5,29.23,1
1590.9,-25.3,83.62,26.15,4.35,1716.5,59.7,23.13,1
1600.4,-24.1,83.52,2.68,4.26,4498.9,-20.6,65.89,1
2325.5,-36.9,76.33,2.33,2.61,3711.6,-33.9,61.89,2
3648.5,-15.8,64.52,13.53,3.56,4861.2,22.6,27.42,1
3091.7,2.0,69.3,6.84,1.04,2999.4,16.3,41.15,0
2247.4,24.3,77.08,14.49,3.47,1216.2,63.1,31.48,0
4171.1,10.0,60.28,10.5,1.43,1645.0,37.9,29.41,1
1337.0,-7.3,86.26,3.37,4.18,1606.0,-2.6,64.52,1
2252.9,31.5,77.03,45.65,0.51,1639.2,224.6,13.84,2
2698.2,13.9,72.84,2.39,3.89,3368.1,17.1,58.77,1
3236.4,29.8,68.03,37.33,0.59,2658.7,184.8,14.37,2
5211.1,-0.4,52.51,9.3,4.42,1933.3,24.8,27.2,1
1698.0,-20.6,82.52,45.79,1.59,754.0,166.8,14.79,2
3585.4,-36.0,65.04,44.85,3.31,120.5,169.0,11.86,2
4054.5,14.5,61.2,33.39,2.49,1102.0,154.3,14.11,2
778.7,-30.9,92.31,34.27,1.89,546.3,87.2,20.85,0
4145.3,-17.3,60.48,2.26,3.26,3929.4,-14.1,49.35,0
1523.1,-0.1,84.32,49.27,4.74,571.4,205.4,14.22,2
890.3,2.3,91.08,44.14,0.3,3623.9,171.7,16.82,2
